id,name,owner,route,evidence_kind,final_shell_capture,acceptance,evidence_paths
x4dva,1A. Brand light · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x4dva.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x4dva-browser.png
D53pMS,7D. Git · Commits · Mobile dark,git 565,/p/default/git/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/D53pMS.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/D53pMS-browser.png
bI71R,8A. Git · Branches · Desktop light,git 565,/p/default/git/branches,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/bI71R.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/bI71R-browser.png
o67XB,8C. Git · Branches · Mobile light,git 565,/p/default/git/branches,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/o67XB.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/o67XB-browser.png
JYHsj,8B. Git · Branches · Desktop dark,git 565,/p/default/git/branches,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/JYHsj.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/JYHsj-browser.png
ZmozS,8D. Git · Branches · Mobile dark,git 565,/p/default/git/branches,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/ZmozS.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/ZmozS-browser.png
tVifC,9A. GitHub · Desktop light,git 565,/p/default/github,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/tVifC.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/tVifC-browser.png
zu66o,9C. GitHub · Mobile light,git 565,/p/default/github,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/zu66o.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/zu66o-browser.png
AKO2L,9B. GitHub · Desktop dark,git 565,/p/default/github,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/AKO2L.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/AKO2L-browser.png
eOnqx,9D. GitHub · Mobile dark,git 565,/p/default/github,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/eOnqx.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/eOnqx-browser.png
EKi57,10A. Skills · Desktop light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/EKi57.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/EKi57-browser.png
kmHeY,10C. Skills · Mobile light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/kmHeY.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/kmHeY-browser.png
cvBro,10B. Skills · Desktop dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cvBro.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/cvBro-browser.png
XdHUd,10D. Skills · Mobile dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/XdHUd.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/XdHUd-browser.png
C2sfEo,11A. Workflows · Desktop light,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/C2sfEo.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/C2sfEo-browser.png
aa0TQ,11C. Workflows · Mobile light,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/aa0TQ.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/aa0TQ-browser.png
s0JzCL,11B. Workflows · Desktop dark,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/s0JzCL.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/s0JzCL-browser.png
Ae0n6,11D. Workflows · Mobile dark,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Ae0n6.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Ae0n6-browser.png
PPxMw,S01. Project settings / General · Desktop light,settings ba089 — Settings only,/p/default/settings,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/PPxMw.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/PPxMw-browser.png
x7yBQu,S01. Project settings / General · Mobile light,settings ba089 — Settings only,/p/default/settings,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x7yBQu.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x7yBQu-browser.png
T4h3KX,S01. Project settings / General · Desktop dark,settings ba089 — Settings only,/p/default/settings,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/T4h3KX.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/T4h3KX-browser.png
Y9V5h2,S01. Project settings / General · Mobile dark,settings ba089 — Settings only,/p/default/settings,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Y9V5h2.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Y9V5h2-browser.png
aFFvV,S07. Global settings / General · Desktop light,settings ba089 — Settings only,/settings/global,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/aFFvV.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/aFFvV-browser.png
yqIfL,S07. Global settings / General · Mobile light,settings ba089 — Settings only,/settings/global,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/yqIfL.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/yqIfL-browser.png
oHH3V,S07. Global settings / General · Desktop dark,settings ba089 — Settings only,/settings/global,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/oHH3V.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/oHH3V-browser.png
TrsF6,S07. Global settings / General · Mobile dark,settings ba089 — Settings only,/settings/global,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/TrsF6.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/TrsF6-browser.png
QifUP,14A. Task changes · Desktop light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/changes,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/QifUP.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/QifUP-browser.png
M8dqPj,14C. Task changes · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/changes,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/M8dqPj.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/M8dqPj-browser.png
X79RX,14B. Task changes · Desktop dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/changes,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/X79RX.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/X79RX-browser.png
rxmtI,14D. Task changes · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/changes,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rxmtI.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rxmtI-browser.png
