ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey,width,height,colors
10,x4dva,1A. Brand light · Start,O516X,Selected mode,Start,1A. Brand light · Start > In-flow composer controls > Run mode — Start selected > Start mode,x4dva/z32E6/MEnQx/ttrYy,lucide,check,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#6D28D9,icons/lucide-check-eec82dfb4f14.svg,lucide/check/eec82dfb4f14,15px,15px,#6D28D9
11,x4dva,1A. Brand light · Start,T6FtAd,Model symbol,Fable,1A. Brand light · Start > In-flow composer controls > Model picker full width,x4dva/z32E6/jkXPp,lucide,cpu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#6D28D9,icons/lucide-cpu-78353ca31ba0.svg,lucide/cpu/78353ca31ba0,20px,20px,#6D28D9
12,x4dva,1A. Brand light · Start,BfAEN,Choose model,Fable,1A. Brand light · Start > In-flow composer controls > Model picker full width,x4dva/z32E6/jkXPp,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,18px,18px,#667084
13,x4dva,1A. Brand light · Start,XNB6K,Runner symbol,claude,1A. Brand light · Start > In-flow composer controls > Runner and effort pickers > Runner picker,x4dva/z32E6/OCV27/TR98v,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#6D28D9,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883,18px,18px,#6D28D9
14,x4dva,1A. Brand light · Start,g5bFc,Runner dropdown,claude,1A. Brand light · Start > In-flow composer controls > Runner and effort pickers > Runner picker,x4dva/z32E6/OCV27/TR98v,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
15,x4dva,1A. Brand light · Start,Y6IlA,Effort symbol,Auto,1A. Brand light · Start > In-flow composer controls > Runner and effort pickers > Effort picker,x4dva/z32E6/OCV27/DFSrf,lucide,gauge,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#6D28D9,icons/lucide-gauge-cabb3515561b.svg,lucide/gauge/cabb3515561b,18px,18px,#6D28D9
16,x4dva,1A. Brand light · Start,Upls0,Effort dropdown,Auto,1A. Brand light · Start > In-flow composer controls > Runner and effort pickers > Effort picker,x4dva/z32E6/OCV27/DFSrf,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
17,x4dva,1A. Brand light · Start,itN3r,Settings,Execution settings,1A. Brand light · Start > In-flow composer controls > Secondary controls > More settings,x4dva/z32E6/oOitU/FjOeu,lucide,chevron-up,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-chevron-up-5eead75ca621.svg,lucide/chevron-up/5eead75ca621,17px,17px,#667084
18,x4dva,1A. Brand light · Start,RZkS2,Start arrow,Start task,1A. Brand light · Start > In-flow composer controls > Start task button,x4dva/z32E6/RyA8M,lucide,arrow-up,box-sizing: border-box; flex-shrink: 0; height: 19px; width: 19px,#0F172A,icons/lucide-arrow-up-0347bbb536b5.svg,lucide/arrow-up/0347bbb536b5,19px,19px,#0F172A
19,x4dva,1A. Brand light · Start,KChcE,Isolated worktree,Start immediately · Isolated worktree,1A. Brand light · Start > In-flow composer controls > Safety reassurance,x4dva/z32E6/NcSQf,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,13px,13px,#667084
20,yhesD,1B. Brand dark · Start,fDgNy,Open navigation,Cezarion iac,1B. Brand dark · Start > Shared mobile header,yhesD/yJ2vu,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#8992A6,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c,20px,20px,#8992A6
21,yhesD,1B. Brand dark · Start,hdpfq,Project,iac,1B. Brand dark · Start > Shared mobile header > Project picker,yhesD/yJ2vu/CT1L1,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#8992A6
22,yhesD,1B. Brand dark · Start,H9qx4,Change project,iac,1B. Brand dark · Start > Shared mobile header > Project picker,yhesD/yJ2vu/CT1L1,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#8992A6
23,yhesD,1B. Brand dark · Start,NICvj,Slash command,Type / for a skill or workflow,1B. Brand dark · Start > Task draft > Input hint,yhesD/BueLt/b45AOI,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883,15px,15px,#8992A6
24,yhesD,1B. Brand dark · Start,uPqkf,Attach,,1B. Brand dark · Start > Task draft > Add context > Attach files button,yhesD/BueLt/uo8NH/J2cqHa,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4,18px,18px,#8992A6
25,yhesD,1B. Brand dark · Start,Y0FZGQ,Template icon,Template,1B. Brand dark · Start > Task draft > Add context > Template,yhesD/BueLt/uo8NH/Z7ZWw2,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419,16px,16px,#AFB5C5
26,yhesD,1B. Brand dark · Start,vVEnV,Open template picker,Template,1B. Brand dark · Start > Task draft > Add context > Template,yhesD/BueLt/uo8NH/Z7ZWw2,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#8992A6
27,yhesD,1B. Brand dark · Start,LbPRH,Skills,Skill,1B. Brand dark · Start > Task draft > Add context > Add skill or workflow,yhesD/BueLt/uo8NH/RTGm6,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#8992A6
28,yhesD,1B. Brand dark · Start,K4SQT,Open skill picker,Skill,1B. Brand dark · Start > Task draft > Add context > Add skill or workflow,yhesD/BueLt/uo8NH/RTGm6,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#8992A6
29,yhesD,1B. Brand dark · Start,LdlER,Dictate icon,,1B. Brand dark · Start > Task draft > Add context > Dictate,yhesD/BueLt/uo8NH/jVM0u,lucide,mic,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-mic-47006fc57172.svg,lucide/mic/47006fc57172,16px,16px,#AFB5C5
30,yhesD,1B. Brand dark · Start,u3rFA,Selected mode,Start,1B. Brand dark · Start > In-flow composer controls > Run mode — Start selected > Start mode,yhesD/B963x6/Wg4qn/LdOjc,lucide,check,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#D7BDFF,icons/lucide-check-eec82dfb4f14.svg,lucide/check/eec82dfb4f14,15px,15px,#D7BDFF
31,yhesD,1B. Brand dark · Start,Vad1d,Model symbol,Fable,1B. Brand dark · Start > In-flow composer controls > Model picker full width,yhesD/B963x6/nqUDU,lucide,cpu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#D7BDFF,icons/lucide-cpu-78353ca31ba0.svg,lucide/cpu/78353ca31ba0,20px,20px,#D7BDFF
32,yhesD,1B. Brand dark · Start,V8fQK,Choose model,Fable,1B. Brand dark · Start > In-flow composer controls > Model picker full width,yhesD/B963x6/nqUDU,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,18px,18px,#8992A6
33,yhesD,1B. Brand dark · Start,PmiRQ,Runner symbol,claude,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Runner picker,yhesD/B963x6/J8Ahb/c0fLP,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#D7BDFF,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883,18px,18px,#D7BDFF
34,yhesD,1B. Brand dark · Start,ZlfgP,Runner dropdown,claude,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Runner picker,yhesD/B963x6/J8Ahb/c0fLP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#8992A6
35,yhesD,1B. Brand dark · Start,k38H5i,Effort symbol,Auto,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Effort picker,yhesD/B963x6/J8Ahb/ygbnY,lucide,gauge,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#D7BDFF,icons/lucide-gauge-cabb3515561b.svg,lucide/gauge/cabb3515561b,18px,18px,#D7BDFF
36,yhesD,1B. Brand dark · Start,qC8ev,Effort dropdown,Auto,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Effort picker,yhesD/B963x6/J8Ahb/ygbnY,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#8992A6
37,yhesD,1B. Brand dark · Start,kHRmZ,Settings,Execution settings,1B. Brand dark · Start > In-flow composer controls > Secondary controls > More settings,yhesD/B963x6/olNkI/AbWAD,lucide,chevron-up,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#8992A6,icons/lucide-chevron-up-5eead75ca621.svg,lucide/chevron-up/5eead75ca621,17px,17px,#8992A6
38,yhesD,1B. Brand dark · Start,sf5jj,Start arrow,Start task,1B. Brand dark · Start > In-flow composer controls > Start task button,yhesD/B963x6/hi8tE,lucide,arrow-up,box-sizing: border-box; flex-shrink: 0; height: 19px; width: 19px,#0F172A,icons/lucide-arrow-up-0347bbb536b5.svg,lucide/arrow-up/0347bbb536b5,19px,19px,#0F172A
39,yhesD,1B. Brand dark · Start,dHUDc,Isolated worktree,Start immediately · Isolated worktree,1B. Brand dark · Start > In-flow composer controls > Safety reassurance,yhesD/B963x6/B5MUj,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,13px,13px,#8992A6
40,mZMB8,1C. Desktop light · Start,Miq1Y,Search,Search… ⌘K,1C. Desktop light · Start > Shared project navigation > Search tasks,mZMB8/s5x4G2/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#667084
41,mZMB8,1C. Desktop light · Start,Zl85A,New task icon,New task,1C. Desktop light · Start > Shared project navigation > Workspace links > New task,mZMB8/s5x4G2/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#6D28D9,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#6D28D9
42,mZMB8,1C. Desktop light · Start,YOKbd,Project,iac main,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Project iac,mZMB8/s5x4G2/KQyUm/p8n9q/w0DQZ,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#667084
43,mZMB8,1C. Desktop light · Start,zg4cr,Collapse project,iac main,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Project iac,mZMB8/s5x4G2/KQyUm/p8n9q/w0DQZ,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
44,mZMB8,1C. Desktop light · Start,CVtRd,New task icon,Tasks,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Tasks navigation,mZMB8/s5x4G2/KQyUm/p8n9q/NLDnn,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,17px,17px,#667084
45,mZMB8,1C. Desktop light · Start,AP0I2,New task icon,Git,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Git navigation,mZMB8/s5x4G2/KQyUm/p8n9q/UcPmV,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,17px,17px,#667084
46,mZMB8,1C. Desktop light · Start,h4P97,New task icon,GitHub,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > GitHub navigation,mZMB8/s5x4G2/KQyUm/p8n9q/jGs5F,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,17px,17px,#667084
47,mZMB8,1C. Desktop light · Start,EwUQr,New task icon,Skills,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Skills navigation,mZMB8/s5x4G2/KQyUm/p8n9q/Re06P,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,17px,17px,#667084
48,mZMB8,1C. Desktop light · Start,s6Ig7M,New task icon,Workflows,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Workflows navigation,mZMB8/s5x4G2/KQyUm/p8n9q/fcEUM,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,17px,17px,#667084
49,mZMB8,1C. Desktop light · Start,VePOY,New task icon,Settings,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Current project navigation > Settings navigation,mZMB8/s5x4G2/KQyUm/p8n9q/rPvpj,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,17px,17px,#667084
50,mZMB8,1C. Desktop light · Start,vRnqV,Reference status glyph,#217,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Single-project sessions > Shared parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,mZMB8/s5x4G2/KQyUm/oL0DE/DL1QJ/LIGAg/XQKoF/ZFZvk/aisRL,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
51,mZMB8,1C. Desktop light · Start,odCAV,Pin or unpin session,Auditing stale Ansible roles #217,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Single-project sessions > Shared parent and worker sessions > Selected parent session,mZMB8/s5x4G2/KQyUm/oL0DE/DL1QJ/LIGAg,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#6D28D9,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#6D28D9
52,mZMB8,1C. Desktop light · Start,Gmx6B,Reference status glyph,#217,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Single-project sessions > Shared parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,mZMB8/s5x4G2/KQyUm/oL0DE/DL1QJ/A5D28u/rcKDx/T0ZQx/nwxXY/Yw0Ir/oKMGm,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
53,mZMB8,1C. Desktop light · Start,u8DDO,Reference status glyph,#218,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Single-project sessions > Shared parent and worker sessions > Delegated worker parent > Session labels > Optional tracker reference line > Optional PR or issue,mZMB8/s5x4G2/KQyUm/oL0DE/DL1QJ/N9tvei/o3YxDJ/iMn20/mN1Lg,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f,12px,12px,#6D28D9
54,mZMB8,1C. Desktop light · Start,TMq6b,Reference status glyph,#214,1C. Desktop light · Start > Shared project navigation > Scrollable projects and sessions > Single-project sessions > Shared parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,mZMB8/s5x4G2/KQyUm/oL0DE/DL1QJ/iWH0L/oW1AR/bxA33/J5rVY/Y9CQut/yg6Nz,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
55,mZMB8,1C. Desktop light · Start,aVc2I,All tasks icon,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > All tasks button,mZMB8/s5x4G2/um4Dd/IqgWF/RsiQK,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3,17px,17px,#4B5566
56,mZMB8,1C. Desktop light · Start,P71NN,Add project icon,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > Add project button,mZMB8/s5x4G2/um4Dd/IqgWF/ZTqX3,lucide,folder-plus,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-folder-plus-87f0433c6541.svg,lucide/folder-plus/87f0433c6541,17px,17px,#4B5566
57,mZMB8,1C. Desktop light · Start,fabdc,Global settings icon,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > Global settings button,mZMB8/s5x4G2/um4Dd/IqgWF/y8S6RQ,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e,17px,17px,#4B5566
58,mZMB8,1C. Desktop light · Start,uGBu4,Tools icon,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,mZMB8/s5x4G2/um4Dd/IqgWF/KjyBP,lucide,wrench,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-wrench-c007132f26fe.svg,lucide/wrench/c007132f26fe,17px,17px,#4B5566
59,mZMB8,1C. Desktop light · Start,kDEIk,Tools menu chevron,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,mZMB8/s5x4G2/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#667084
60,mZMB8,1C. Desktop light · Start,n1KYP,Theme icon,,1C. Desktop light · Start > Shared project navigation > Local workspace status > Compact workspace actions > Theme button,mZMB8/s5x4G2/um4Dd/IqgWF/VfHlv,lucide,sun-moon,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-sun-moon-e715c2aaac76.svg,lucide/sun-moon/e715c2aaac76,17px,17px,#4B5566
61,mZMB8,1C. Desktop light · Start,gO1LY,Project folder,iac / New task Isolated worktree,1C. Desktop light · Start > Main workspace > Workspace header,mZMB8/uJ9eY/MVOM5,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#667084
62,mZMB8,1C. Desktop light · Start,U9Piv,Isolated worktree indicator,iac / New task Isolated worktree,1C. Desktop light · Start > Main workspace > Workspace header,mZMB8/uJ9eY/MVOM5,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#6D28D9,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,16px,16px,#6D28D9
63,mZMB8,1C. Desktop light · Start,WCuRj,Slash command,Type / for a skill or workflow,1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Input hint,mZMB8/uJ9eY/qNH3U/ATtPU/Jq1SC/hIIDc/Yd9R6,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883,15px,15px,#667084
64,mZMB8,1C. Desktop light · Start,ayb0x,Attach,,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Attach files button",mZMB8/uJ9eY/qNH3U/ATtPU/Jq1SC/hIIDc/f0e3lm/P35oQ,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4,18px,18px,#667084
65,mZMB8,1C. Desktop light · Start,H5JgF,Template icon,Template,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Template",mZMB8/uJ9eY/qNH3U/ATtPU/Jq1SC/hIIDc/f0e3lm/sTWjP,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419,16px,16px,#4B5566
66,mZMB8,1C. Desktop light · Start,wGjz0,Open template picker,Template,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Template",mZMB8/uJ9eY/qNH3U/ATtPU/Jq1SC/hIIDc/f0e3lm/sTWjP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
67,mZMB8,1C. Desktop light · Start,rsT2s,Skills,Skill,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Add skill or workflow",mZMB8/uJ9eY/qNH3U/ATtPU/Jq1SC/hIIDc/f0e3lm/SVsi9,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
