oldId,oldName,currentId,currentName,mappingBasis,png
eDIGx,30B. Project settings · Agent config,w1inBF,S03. Project settings / Agent config · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/w1inBF.png
PBf5F,30C. Project settings · Worktrees,LmL0v,S04. Project settings / Worktrees · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/LmL0v.png
SRaON,30D. Project settings · Prompt templates,cv6mn,S06. Project settings / Prompt templates · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cv6mn.png
Z9By1,31A. Global settings · Notifications,x1Iye,S09. Global settings / Notifications · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x1Iye.png
AzGdn,31B. Global settings · Resources,sBaI8,S10. Global settings / Resources · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/sBaI8.png
AN5gN,31C. Global settings · Skills,RysDF,S11. Global settings / Skills · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/RysDF.png
Sa02O,31D. Global settings · Agent accounts,XLiCf,S12. Global settings / Agent accounts · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/XLiCf.png
SN7pd,31E. Global settings · Projects,Id0Gw,S13. Global settings / Projects · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Id0Gw.png
hcJW7,31B. Resource settings · Mobile light,OGJJ1,S10. Global settings / Resources · Mobile light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/OGJJ1.png
TN9Ej,30A. Project settings · Agents · Dark,cQJod,S02. Project settings / Agents · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cQJod.png
FQr7q,30B. Project settings · Agent config · Dark,v9iCdT,S03. Project settings / Agent config · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/v9iCdT.png
e2S835,30C. Project settings · Worktrees · Dark,u8PPZ3,S04. Project settings / Worktrees · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/u8PPZ3.png
PxeWg,30D. Project settings · Prompt templates · Dark,v5h5dm,S06. Project settings / Prompt templates · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/v5h5dm.png
HVu0D,31A. Global settings · Notifications · Dark,c96HBw,S09. Global settings / Notifications · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/c96HBw.png
chAPL,31B. Global settings · Resources · Dark,iBtG5,S10. Global settings / Resources · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/iBtG5.png
xH7vU,31C. Global settings · Skills · Dark,tWnpG,S11. Global settings / Skills · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/tWnpG.png
XS7nt,31D. Global settings · Agent accounts · Dark,XvWFg,S12. Global settings / Agent accounts · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/XvWFg.png
lUOHx,31E. Global settings · Projects · Dark,pHBjV,S13. Global settings / Projects · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/pHBjV.png
Y3hl1v,31B. Resource settings · Mobile dark,jCdnx,S10. Global settings / Resources · Mobile dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/jCdnx.png
eGAZH,00B. Implementation gaps · Coverage and handoff index,mxZSz,00. Design reference · Current UI and behavior,obsolete index/documentation board consolidated into current behavior reference; not a screen rename,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mxZSz.png
